,id,slug,status,title,property_type,purchase_type,bedrooms,bathrooms,area,city,state,photo_url,lister,lat,lng,price,createdat,price_per_sq_ft,trends
509,14062,my-loss-is-your-gain,active,My loss is your gain!,Tiny House On Wheels,purchase,0.0,1.0,200.0,Springdale,Arkansas,http://res.cloudinary.com/tinyhouselistings/image/upload/20171203_162210-e1516722520868_nmmec6.jpg,25425,36.186744,-94.128814,11000.0,2018-01-23,55.0,
510,14056,2018-platinum-cottages-eagles-landing-rv-park-model-with-split-loft,changes_rejected,2018 Platinum Cottages Eagles Landing RV park model with split loft,Converted Bus,purchase,1.0,1.0,399.0,Rockwall,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/Platinum-535-exterior_xj5o3z.jpg,23671,32.931234,-96.459709,62000.0,2018-01-22,155.39,
511,14059,soquel-creek,active,Soquel Creek,Tiny House On Wheels,purchase,0.0,1.0,320.0,Soquel,California,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0165_m7gekl.jpg,25422,36.988006,-121.956627,52541.0,2018-01-22,164.19,
512,14049,high-performance-ultralight-composite-tiny-homes,changes_rejected,"Instant EcoVilla: Modular, Removable, Transportable, Self-Contained Structures",Tiny House On Wheels,purchase,1.0,1.0,400.0,Miami,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/1_zirxap.jpg,25418,25.76168,-80.19179,60000.0,2018-01-20,150.0,
513,14042,400-sf-net-zero-home-in-upstate-south-carolina,active,400 sf. NET ZERO HOME in Upstate South Carolina,Tiny House On Wheels,rent,0.0,1.0,400.0,,South Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/20180107_151236_rsauor.jpg,25412,34.749245,-82.993161,1900.0,2018-01-17,4.75,
515,14024,2018-titanium-tiny-home,active,2018 Titanium Tiny Home,Tiny House On Wheels,purchase,0.0,1.0,230.0,Walkerton,Indiana,http://res.cloudinary.com/tinyhouselistings/image/upload/20180110_182651_eeuc00.jpg,25399,41.466711,-86.483068,48750.0,2018-01-11,211.96,
516,14025,2017-cypress-tiny-home,active,2017 Cypress Tiny Home,Tiny House,purchase,2.0,1.0,285.0,Willis,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/Front-View_uegzix.jpg,25400,30.267153,-97.743061,73000.0,2018-01-11,256.14,
517,14004,35-x-12-tiny-homes-shell-or-finished-great-little-cabins-for-primary-or-secondary-residence,active,35 x 12 Tiny Homes (Shell or finished) Great little cabins for primary or secondary residence,Cabin,purchase,1.0,1.0,420.0,Hooksett,New Hampshire,http://res.cloudinary.com/tinyhouselistings/image/upload/KIMG1295_rnh85h.jpg,25397,43.193852,-71.572395,24950.0,2018-01-10,59.4,Eco
518,14001,park-model-cabin-with-loft-price-reduced-mobile,active,Park Model Cabin with Loft *Price Reduced*,Cabin,purchase,1.0,1.0,499.0,Three Rivers,California,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_1429-1_iwtszc.jpg,24472,36.438836,-118.904545,90000.0,2018-01-09,180.36,
519,13999,150-square-foot-structure,active,150 square foot structure,Tiny House On Wheels,purchase,0.0,0.0,150.0,Fennville,Michigan,http://res.cloudinary.com/tinyhouselistings/image/upload/EF8C7FFA-B4F1-4794-908B-0D4D44359C64_gczlxj.jpg,25393,42.593917,-86.101701,9000.0,2018-01-08,60.0,
520,13990,chuckwagon-glamper,active,Chuckwagon Glamper,Tiny House On Wheels,purchase,1.0,0.0,50.0,Camden,Arkansas,http://res.cloudinary.com/tinyhouselistings/image/upload/179_hna7sn.jpg,23944,33.584558,-92.834329,9700.0,2018-01-05,194.0,
521,13986,12x32-tiny-house-cottage,active,12X32 Tiny house/ Cottage,Tiny House On Wheels,purchase,0.0,1.0,384.0,Franklinton,North Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0182_tx2jng.jpg,23579,36.101816,-78.458054,18000.0,2018-01-02,46.88,
522,13981,movable-container-home-fully-furnished,active,Movable Container Home Fully furnished,Container Home,purchase,0.0,1.0,160.0,Austin,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/TINYHOUSE1_apoxrs.jpg,25380,30.267153,-97.743061,24900.0,2018-01-01,155.62,
523,13976,24-custom-tiny-house,active,24’ custom tiny house,Tiny House On Wheels,purchase,0.0,1.0,204.0,Birmingham,Alabama,http://res.cloudinary.com/tinyhouselistings/image/upload/B197436B-2347-4DBE-864F-C3758FF52D1A_ogpi47.jpg,25378,33.520661,-86.80249,29900.0,2017-12-30,146.57,
524,13972,cabana-cafe-tiny-home-unfinished,active,Cabaña Café: Tiny Home (Unfinished),Tiny House,purchase,2.0,1.0,200.0,Indio,California,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0820-e1514489047753_zrwcla.jpg,25374,33.714056,-116.218649,22000.0,2017-12-28,110.0,
525,13962,tiny-house-shower-and-loft,active,Tiny House Shower and Loft,Tiny House On Wheels,purchase,0.0,1.0,160.0,Houston,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/Tiny-house_gsa9za.jpg,25365,29.760427,-95.369803,46000.0,2017-12-20,287.5,
526,13963,stylish-and-cozy-tee-tiny-house,active,Stylish and Cozy Tee Tiny House,Tiny House On Wheels,purchase,0.0,1.0,271.0,Arnaudville,Louisiana,http://res.cloudinary.com/tinyhouselistings/image/upload/Main-Interior-Living-Space_oazisb.jpg,25366,30.397697,-91.931506,86900.0,2017-12-20,320.66,
527,13936,new-orleans-la-12-new-orleans-tiny-house,active,New Orleans Tiny House,Tiny House On Wheels,purchase,1.0,1.0,190.0,New Orleans,Louisiana,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_20160919_162330735_lgsppt.jpg,25346,29.951066,-90.071532,59800.0,2017-12-13,314.74,
528,13934,berwick-me-12-tiny-studio-on-wheels,active,Tiny Studio on Wheels,Tiny House On Wheels,purchase,1.0,0.0,80.0,Berwick,Maine,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_6280_n7cigp.jpg,25344,43.26832,-70.863551,8500.0,2017-12-13,106.25,
529,13928,atlanta-ga-15-greensoul-healing-village-1,active,Community Village,Tiny House On Wheels,purchase,1.0,1.0,500.0,Atlanta,Georgia,http://res.cloudinary.com/tinyhouselistings/image/upload/loft2_uuwugu.jpg,25340,33.748995,-84.387982,50000.0,2017-12-09,100.0,
531,13910,colorado-springs-colorado-12-the-kiowa,active,The Kiowa,Tiny House,purchase,2.0,1.0,312.0,Colorado Springs,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/kitchen_vjhewb.jpg,25329,38.833882,-104.821363,57000.0,2017-12-04,182.69,
532,13902,tucson-arizona-12-selling-my-tiny-house-on-wheels,active,Selling My Tiny House on Wheels,Tiny House On Wheels,purchase,0.0,0.0,192.0,Tucson,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/tiny-7_wtwsou.jpg,25327,32.221743,-110.926479,16000.0,2017-12-01,83.33,
533,13545,taylors-sc-12-the-legacy-built-by-wood-heart-building-co-2,active,The Legacy,Tiny House On Wheels,model,0.0,1.0,280.0,Taylors,South Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/Colton-1_tzlljt.jpg,25021,34.920395,-82.296227,85000.0,2017-12-01,303.57,
534,13883,all-of-maine-15-custom-built-cabin,active,Custom Built Cabin,Cabin,model,1.0,1.0,360.0,,Maine,http://res.cloudinary.com/tinyhouselistings/image/upload/20171020_112740_bsxff6.jpg,25313,45.253783,-69.445469,45000.0,2017-11-25,125.0,
535,13877,albuquerque-nm-12-bird,active,Bird,Converted Bus,purchase,1.0,1.0,250.0,Oceanside,California,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0377_myof7r.jpg,25310,33.195078,-117.378631,20000.0,2017-11-23,80.0,
536,13879,sacramento-ca-usa-12-custom-tiny-house-sacramento,active,Custom Tiny House Sacramento,Tiny House,purchase,1.0,1.0,200.0,Sacramento,California,http://res.cloudinary.com/tinyhouselistings/image/upload/image-38-e1511469354712_b68g66.jpg,25311,38.424402,-121.331288,32000.0,2017-11-23,160.0,
537,13875,san-leandro-12-modern-brand-new-tiny-home-for-sale,active,Modern brand new tiny home for sale,Tiny House On Wheels,purchase,0.0,1.0,225.0,Castro Valley,California,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG-20171022-WA0017_do402o.jpg,25306,37.72493,-122.156077,49800.0,2017-11-21,221.33,Modern
538,13876,united-states-12-anna,active,Anna,Tiny House,purchase,0.0,1.0,277.0,Chattanooga,Tennessee,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_1209_yyns6n.jpg,25307,37.09024,-95.712891,78000.0,2017-11-21,281.59,
539,13871,cedar-mountain-tiny-house,active,Cedar Mountain Tiny House,Tiny House On Wheels,purchase,0.0,1.0,153.0,Nashville,Tennessee,http://res.cloudinary.com/tinyhouselistings/image/upload/cedar-mountain-new-frontier-tiny-homes-1_rc42ed.jpg,25301,36.162664,-86.781602,89000.0,2017-11-17,581.7,Treehouse
540,13869,riverside-tiny-house,active,The Riverside Tiny House,Tiny House On Wheels,purchase,0.0,1.0,246.0,Nashville,Tennessee,http://res.cloudinary.com/tinyhouselistings/image/upload/riverside-a-new-frontier-1-1_eo11th.jpg,25301,36.162664,-86.781602,99000.0,2017-11-17,402.44,
544,13853,livonia-ny-12-michael-west,active,1935 House Car,Tiny House On Wheels,purchase,1.0,1.0,90.0,,New York,http://res.cloudinary.com/tinyhouselistings/image/upload/1930s-camper_ijjoua.jpg,25292,42.798093,-77.676518,2500.0,2017-11-11,27.78,
545,13854,kansas-city-mo-15-the-universal-dome-by-luna-glamping,active,"The ""Universal Dome""",Tiny House On Wheels,model,0.0,0.0,196.0,Kansas City,Missouri,http://res.cloudinary.com/tinyhouselistings/image/upload/large_vnru4c.jpg,25293,39.099727,-94.578567,9500.0,2017-11-11,48.47,Urban
546,13849,ehrenberg-az-15-river-community,active,River Community,Tiny House On Wheels,purchase,1.0,1.0,400.0,Ehrenberg,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/P7W_9224-1_iwqb8o.jpg,25080,33.604191,-114.525232,45000.0,2017-11-10,112.5,
548,13845,chapel-hill-north-carolina-usa-12-free-spirit-tiny-homes,active,Bluejay,Tiny House On Wheels,purchase,1.0,1.0,204.0,Chapel Hill,North Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/JSM4357_bscdta.jpg,23564,35.9132,-79.055845,60000.0,2017-11-08,294.12,
550,13821,vero-beach-florida-usa-12-beautiful-tiny-house-shell,active,Beautiful Tiny House shell,Tiny House On Wheels,purchase,2.0,1.0,250.0,Vero Beach,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_9678_xdayfv.jpg,25277,27.638643,-80.397274,24000.0,2017-10-30,96.0,
551,13818,spring-hill-fl-12-beautiful-24ft-custom-tiny-home-in-north-tampa,active,Beautiful 24ft Custom Tiny Home in North Tampa,Tiny House On Wheels,purchase,0.0,1.0,255.0,Spring Hill,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/12046576_1223702070992741_8582768315975750681_n_npdjby.jpg,25274,28.483168,-82.536987,47000.0,2017-10-29,184.31,
555,13784,st-george-ga-us-15-cabin-in-the-country-40-minutes-to-the-beach,active,Cabin in the Country 40 minutes to the Beach,Cabin,purchase,1.0,0.0,240.0,Saint George,Georgia,http://res.cloudinary.com/tinyhouselistings/image/upload/12-x-20-Cabin-Shed-2900-1_ohrhhd.jpg,25258,30.521069,-82.037613,2900.0,2017-10-18,12.08,
559,13731,phenix-city-al-15-10x-20-tiny-house-shell,active,10'x 20' Tiny House Shell,Container Home,purchase,0.0,0.0,200.0,Phenix City,Alabama,http://res.cloudinary.com/tinyhouselistings/image/upload/10x20_lofted_barn_lapside2_k7ijzc.jpg,25213,32.470976,-85.000765,4995.0,2017-10-07,24.98,Urban
560,13730,sadler-tx-12-mobile-tiny-home-for-sale,active,Mobile Tiny Home For Sale,Tiny House On Wheels,purchase,0.0,1.0,207.0,Sadler,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0302_ha4cme.jpg,25192,33.682606,-96.848335,47000.0,2017-10-07,227.05,
562,13729,des-moines-ia-12-selling-do-to-changes,active,*PRICE REDUCED* 26' Tiny House For Sale,Tiny House On Wheels,purchase,2.0,1.0,208.0,Des Moines,Iowa,http://res.cloudinary.com/tinyhouselistings/image/upload/Side-View_qanmi2.jpg,25210,41.600545,-93.609106,25000.0,2017-10-06,120.19,
564,13713,austin-tx-12-steel-frame-lightweight-thow-on-or-off-grid,active,STEEL FRAME lightweight THOW: On or Off-grid,Tiny House On Wheels,purchase,1.0,1.0,120.0,Austin,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/front-view_bk0hw4.jpg,22094,30.267153,-97.743061,50000.0,2017-10-04,416.67,
565,13715,seattle-wa-12-tiny-house-on-wheels-proven-road-worthy,active,"Tiny house on wheels, proven road worthy",Tiny House On Wheels,purchase,0.0,1.0,120.0,Traverse City,Michigan,http://res.cloudinary.com/tinyhouselistings/image/upload/17818212_1304840992942805_3004054741350088704_n_uh0omr.jpg,25200,47.60621,-122.332071,34000.0,2017-10-04,283.33,
567,13721,idaho-12-2017-pioneer-year-end-closeout-model,active,2017 Pioneer,Tiny House On Wheels,model,0.0,0.0,150.0,,Idaho,http://res.cloudinary.com/tinyhouselistings/image/upload/DSCN1183_dksxjj.jpg,20797,44.068202,-114.742041,37495.0,2017-10-04,249.97,
570,13708,anaheim-12-tiny-house-of-orange-county,active,Tiny house of orange county,Tiny House On Wheels,purchase,0.0,1.0,240.0,Anaheim,California,http://res.cloudinary.com/tinyhouselistings/image/upload/image_geil1z.jpg,25194,33.836593,-117.914301,65000.0,2017-10-02,270.83,
572,13660,belle-chasse-la-12-southern-charm-100-reclaimed-entertaining-trailer,active,Southern Charm! 100% Reclaimed Entertaining Trailer!,Tiny House On Wheels,purchase,1.0,0.0,200.0,Belle Chasse,Louisiana,http://res.cloudinary.com/tinyhouselistings/image/upload/Porch_jzkv2t.jpg,25140,29.854929,-89.990625,38500.0,2017-09-29,192.5,
574,13697,kentucky-15-24-foot-diameter-yurt,active,24 foot diameter Yurt,Yurt,purchase,1.0,0.0,450.0,,Kentucky,http://res.cloudinary.com/tinyhouselistings/image/upload/20525721_10154810390016485_2408839827508834838_n_tsqra2.jpg,25178,37.839333,-84.270018,5000.0,2017-09-28,11.11,
576,13656,east-hartford-ct-12-tiny-house-in-connecticut-motivated-seller,active,Tiny House in Connecticut - Motivated Seller,Tiny House On Wheels,model,0.0,1.0,128.0,East Hartford,Connecticut,http://res.cloudinary.com/tinyhouselistings/image/upload/DSC_0433_iqa26x.jpg,22907,41.763422,-72.612834,39500.0,2017-09-24,308.59,
577,13671,killingworth-ct-15-a-perfect-pied-a-terre-in-the-woods,active,A perfect pied a terre in the woods!,Tiny House On Wheels,purchase,0.0,1.0,96.0,Killingworth,Connecticut,http://res.cloudinary.com/tinyhouselistings/image/upload/house-front_xzl34k.jpg,25153,41.358187,-72.56456,189000.0,2017-09-24,1968.75,
578,13668,pueblo-co-15-stealth-conex-tiny-house,active,Stealth Conex Tiny House,Tiny House,purchase,1.0,1.0,160.0,Pueblo,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/TinyHouseFront_untzow.jpg,25147,38.254447,-104.609141,15000.0,2017-09-23,93.75,
580,13664,tulsa-oklahoma-12-tiny-home-w-a-huge-impact,active,Tiny Home w/ a Huge Impact,Tiny House On Wheels,purchase,2.0,1.0,224.0,Tulsa,Oklahoma,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0013_bleaax.jpg,25143,36.153982,-95.992775,70000.0,2017-09-22,312.5,
581,13655,londonderry-vermont-12-8x20-custom-tiny-house-with-built-ins,active,8x20 Custom Tiny House with Built-Ins,Tiny House On Wheels,model,0.0,1.0,230.0,Londonderry,Vermont,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_7112_ckrevk.jpg,23012,43.226464,-72.806487,65000.0,2017-09-21,282.61,
582,13647,mobile-al-12-off-grid-tiny-house-boat-for-sale,active,Off-Grid Tiny House Boat for Sale,Boat,purchase,1.0,0.0,75.0,Mobile,Alabama,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_20170530_133826627_HDR_cokpi1.jpg,25129,30.681803,-88.014426,14000.0,2017-09-20,186.67,
584,13634,concord-nh-12-tiny-home-12-x-35-weather-tight-shell-or-completely-finished,active,Tiny Home 12 x 35 (Weather tight Shell or completely Finished),Tiny House On Wheels,purchase,1.0,1.0,420.0,Concord,New Hampshire,http://res.cloudinary.com/tinyhouselistings/image/upload/96841A04-9D48-47D5-A638-1D7CD3A34263_hsgvhv.jpg,23020,43.208137,-71.537572,10000.0,2017-09-20,23.81,
585,13648,arizona-12-custom-built-tiny-house,active,Custom Built Tiny House,Tiny House On Wheels,purchase,0.0,0.0,100.0,,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/Screenshot_2017-09-19-20-42-24_xkxpdq.jpg,25130,34.048928,-111.093731,6500.0,2017-09-20,65.0,
586,13639,lake-jackson-12-custom-built-tiny-house,active,Custom Built Tiny House,Tiny House On Wheels,purchase,0.0,1.0,250.0,Lake Jackson,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_9992_jv0yfy.jpg,25121,29.033858,-95.434386,43000.0,2017-09-19,172.0,
587,13628,houston-tx-12-8-5x20-tiny-be-1st-owner-36900,active,"8.5'x20' Tiny- Be 1st Owner $35,000",Tiny House,purchase,2.0,1.0,210.0,Houston,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/100_1244_ibeztg.jpg,23285,29.760427,-95.369803,35000.0,2017-09-18,166.67,
589,13633,colorado-springs-co-12-new-construction-may-2017-tiny-house,active,New Construction (May 2017) Tiny House,Tiny House On Wheels,purchase,0.0,0.0,280.0,Colorado Springs,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/TH-Front-e1505738338211_n1eddi.jpg,25115,38.833882,-104.821363,37500.0,2017-09-18,133.93,
590,13627,ehrenberg-az-15-arizona-tiny-home-2,active,Colorado River Tiny Home,Tiny House On Wheels,purchase,1.0,1.0,400.0,Ehrenberg,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_20170903_144808702-2_iezafk.jpg,25080,33.604191,-114.525232,51000.0,2017-09-15,127.5,
591,13596,denver-co-usa-12-country-cottage-off-grid-tiny-house,active,Off Grid Tiny House - PRICE REDUCED!,Tiny House On Wheels,purchase,1.0,1.0,160.0,Denver,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/20170831_135732_resized_uiq1to.jpg,25049,39.739236,-104.990251,41000.0,2017-09-14,256.25,
592,13599,lombard-il-60148-15-20ft-containertiny-home,active,20ft container/tiny home,Container Home,purchase,0.0,1.0,160.0,Lombard,Illinois,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0854_zuy9vn.jpg,25079,41.84,-88.01,16000.0,2017-09-14,100.0,
593,13598,austintx-12-austin-tiny-house-for-sale,active,"New Modern 24' Tiny House For Sale in Austin,Tx.",Tiny House On Wheels,purchase,0.0,1.0,200.0,Austin,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/18010955_10208883512834514_617157476643933936_n-1_fkdrvl.jpg,25078,30.267153,-97.743061,40000.0,2017-09-14,200.0,
595,13601,ehrenberg-arizona-15-river-community-tiny-home,active,River Community Tiny Home,Tiny House On Wheels,purchase,1.0,1.0,400.0,Ehrenberg,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/P7W_9224-1_cwnkpx.jpg,25080,33.604191,-114.525232,45000.0,2017-09-14,112.5,
597,13622,houston-15-shipping-container-tiny-home-conversion-cabin-guesthouse-spare-room-20ft-160sqft,active,"Shipping Container Tiny Home Conversion, Cabin, Guest House, Spare Room 20ft 160sqft In Houston Texas",Cabin,purchase,0.0,1.0,160.0,Houston,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/20170911_112642_ne24dz.jpg,25100,29.760427,-95.369803,34995.0,2017-09-14,218.72,
602,13609,bloomington-in-12-tiny-house-shell-with-front-porch-and-rough-electric,active,Tiny house shell with front porch and rough electric,Tiny House On Wheels,purchase,1.0,1.0,330.0,Bloomington,Indiana,http://res.cloudinary.com/tinyhouselistings/image/upload/20170907_184133_wadbv5.jpg,25086,39.165325,-86.526386,7500.0,2017-09-11,22.73,
603,13613,oakland-ca-12-tiny-house-shell,active,Tiny House Shell,Tiny House On Wheels,purchase,0.0,0.0,104.0,Oakland,California,http://res.cloudinary.com/tinyhouselistings/image/upload/20170903_153359_cmddoe.jpg,23377,37.804364,-122.271114,5000.0,2017-09-11,48.08,
605,13602,austin-texas-12-the-brazos,active,The Brazos,Tiny House On Wheels,purchase,0.0,1.0,240.0,Austin,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_4773-1_s6abhz.jpg,24318,30.267153,-97.743061,36000.0,2017-09-09,150.0,
607,13605,virginia-12-brand-new-tiny-house-never-lived-in,active,"Brand New Tiny House, Never Lived In",Tiny House On Wheels,purchase,1.0,1.0,185.0,,Virginia,http://res.cloudinary.com/tinyhouselistings/image/upload/20170906_53d60bfd-a820-41dd-a296-130504b6529e-1000x750_rbqmly.jpg,25083,37.431573,-78.656894,27000.0,2017-09-09,145.95,
608,13590,commerce-georgia-15-12-by-32-lofted-barn-cabin,active,12 by 32 Lofted Barn Cabin,Cabin,purchase,0.0,0.0,384.0,Commerce,Georgia,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_20170816_101135_ltyzeo.jpg,25065,34.203997,-83.457106,8170.0,2017-09-05,21.28,Farmhouse
609,13582,mchenry-il-12-8-x-20-tiny-home,active,8 X 20 Tiny Home,Tiny House On Wheels,purchase,0.0,1.0,160.0,McHenry,Illinois,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_6817_v8wcfy.jpg,25057,42.333355,-88.266753,15500.0,2017-09-04,96.88,
611,13573,denver-co-usa-12-off-grid-tiny-house,active,Country Cottage Off Grid Tiny House,Tiny House On Wheels,purchase,1.0,1.0,160.0,Denver,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/20170831_135732_resized_w3usvb.jpg,25049,39.739236,-104.990251,42500.0,2017-09-02,265.62,
612,13572,grand-rapids-mi-12-1960-scotty-serro-trailer-remodeled-into-tiny-home-2,active,1960 Scotty Serro Trailer remodeled into Tiny Home!,Tiny House On Wheels,purchase,0.0,0.0,105.0,Grand Rapids,Michigan,http://res.cloudinary.com/tinyhouselistings/image/upload/00Q0Q_gF1wZvyh9Nx_600x450-2_rfd3hk.jpg,25048,42.96336,-85.668086,7200.0,2017-09-02,68.57,
613,13563,austin-texas-12-brand-new-tiny-house,active,Brand New Tiny House,Tiny House On Wheels,purchase,1.0,1.0,234.23182711198427,Austin,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/Front-1_vngcpo.jpg,25041,30.267153,-97.743061,40000.0,2017-08-30,170.77,
614,13550,henderson-nv-12-24-ft-tiny-home-on-wheels,active,24 ft Tiny Home on Wheels,Tiny House On Wheels,purchase,3.0,1.0,300.0,Henderson,Nevada,http://res.cloudinary.com/tinyhouselistings/image/upload/20170824_161854_hvjtbh.jpg,24647,36.039525,-114.981721,84900.0,2017-08-28,283.0,
616,13541,missoula-mt-12-hand-crafted-tiny-house-for-sale-in-missoula-montana,active,"Hand-crafted Tiny House for Sale in Missoula, Montana",Tiny House On Wheels,purchase,0.0,1.0,216.0,Missoula,Montana,http://res.cloudinary.com/tinyhouselistings/image/upload/Tiny-House-CLW-2122_psw0pq.jpg,22608,46.878718,-113.996586,55000.0,2017-08-28,254.63,
617,13540,caldwell-idaho-12-tiny-house-toy-hauler-special-price-financing-available,active,Tiny House Toy Hauler – Special Price! Financing available,Tiny House On Wheels,purchase,1.0,1.0,300.0,Caldwell,Idaho,http://res.cloudinary.com/tinyhouselistings/image/upload/Image00039_yqdgwg.jpg,20797,43.662938,-116.68736,72000.0,2017-08-24,240.0,
618,13537,glendale-airzona-15-tiny-house-box-a-300-square-foot-container-home-for-only-54999-00-furnished-2,active,Tiny House Box - A 300 Square Foot Container Home,Container Home,model,2.0,1.0,300.0,Glendale,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/MCC-Dan-2016-25-1_defp15.jpg,22169,33.538652,-112.185987,54999.0,2017-08-23,183.33,
619,13532,colorado-12-8x20-tiny-home-free-delivery,active,"8x20 Tiny Home, Free Delivery!",Tiny House On Wheels,model,0.0,1.0,160.0,,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/DSC_5200-2_y1dvor.jpg,25007,39.550051,-105.782067,15000.0,2017-08-23,93.75,
622,13528,springfield-oregon-12-gorgeous-brand-new-tiny-house,active,"Gorgeous, New Tiny House",Tiny House On Wheels,purchase,0.0,1.0,160.0,Springfield,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_5988EDTSuLow_wg1qap.jpg,25002,44.046236,-123.022029,39000.0,2017-08-22,243.75,
623,13408,fort-collins-co-12-24-tiny-house-two-lofts-rooftop-deck-modern-kitchen-with-cottage-feel-a-must-see,active,"24' Tiny House, Two Lofts, Rooftop Deck, 4' tiled shower, Skylight, Modern Kitchen with Cottage Feel - a Must See!",Tiny House On Wheels,purchase,2.0,1.0,310.0,Fort Collins,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_8195_dedmeo.jpg,24841,40.58526,-105.084423,64495.0,2017-08-20,208.05,Modern
624,13521,omaha-nebraska-12-rick-walkup,active,Rick Walkup,Tiny House On Wheels,purchase,0.0,1.0,240.0,Omaha,Nebraska,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_4929_awv3xt.jpg,24997,41.252363,-95.997988,27000.0,2017-08-20,112.5,
628,13501,knoxville-tn-12-gypsy-vardo,active,Gypsy vardo,Tiny House On Wheels,purchase,0.0,0.0,70.0,Knoxville,Tennessee,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_20170801_184415_437_rpwhr0.jpg,24970,35.960638,-83.920739,18000.0,2017-08-17,257.14,
630,13500,caldwell-idaho-12-tiny-house-toy-hauler-special-price,active,Tiny House Toy Hauler – Special Price! Financing available,Tiny House On Wheels,purchase,1.0,1.0,300.0,Caldwell,Idaho,http://res.cloudinary.com/tinyhouselistings/image/upload/Image00012_hfcpic.jpg,20797,43.662938,-116.68736,72000.0,2017-08-16,240.0,
631,13506,monument-colorado-12-custom-log-cabin-tiny-home,active,Custom Log Cabin Tiny Home,Tiny House On Wheels,purchase,1.0,1.0,288.0,Monument,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/Exterior-Porch_z57jfr.jpg,24974,39.091659,-104.872758,49900.0,2017-08-16,173.26,
632,13493,brick-town-new-jersey-12-matt,active,1970's Vintage travel trailer,Tiny House On Wheels,model,1.0,1.0,24.0,Brick,New Jersey,http://res.cloudinary.com/tinyhouselistings/image/upload/92E67BCA-8FB9-4E33-A815-A8799AFF746E_hpnjas.jpg,24960,40.057838,-74.137183,9500.0,2017-08-15,395.83,
633,13488,durham-12-20-modified-shipping-container-on-a-heavy-duty-steel-trailer,active,20' modified shipping container on a heavy duty steel trailer,Container Home,purchase,1.0,0.0,160.0,Durham,North Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0260_xbuwbf.jpg,24953,35.994033,-78.898619,13500.0,2017-08-12,84.38,
636,13484,bend-oregon-15-tiny-house-10x20,active,Tiny House 10x20,Tiny House On Wheels,purchase,0.0,1.0,300.0,Bend,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/00W0W_3feI04ojITG_600x450_phihdo.jpg,24944,44.058173,-121.31531,49000.0,2017-08-11,163.33,
